mbid,artist_mb,artist_lastfm,tags_mb,az_artist,done
20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,Taylor Swift,False
8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Calvin Harris,Calvin Harris,electronic; dance; house; electropop; disco; dance-pop; progressive house; hip house; electro house; dance and electronica; nu-disco; uk hip hop; contemporary r&b; complextro; electro-disco; ibiza trance,Calvin Harris,False
f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Wiz Khalifa,Wiz Khalifa,rap; hip hop; pop rap; hip hop rnb and dance hall,Wiz Khalifa,False
87c5dedd-371d-4a53-9f7f-80522fb7f3cb,Björk,Björk,trip-hop; rock; electronic; downtempo; soundtrack; synthpop; pop; ambient; 90s; jazz; dance; experimental; idm; a cappella; islande; islandais; iceland; icelandic; electronica; alternative; baroque pop; alternative pop; trip hop; 2000; 00s; rock and indie; 10s; progressive pop; multiple ipi; art pop; whimsically inclined,Björk,False
382f1005-e9ab-4684-afd4-0bdae4ee37f2,2Pac,2Pac,american; hip-hop; hip hop; gangsta rap; west coast hip-hop; pop rap; g-funk; hip hop rnb and dance hall; west coast hip hop; above the rim; death by murder; death by gun; 2 pac; conscious hip hop; political hip hop; temor a la muerte; unil the end of time,2Pac,False
af37c51c-0790-4a29-b995-456f98a6b8c9,Vampire Weekend,Vampire Weekend,rock; american; usa; indie rock; indie; alternative; composer; américain; baroque pop; indie pop; neo-psychedelia; pop rap; afrobeat; indietronica; compositeur; rock and indie,Vampire Weekend,False
b7ffd2af-418f-4be2-bdd1-22f8b48613da,Nine Inch Nails,Nine Inch Nails,rock; electronic; synthpop; alternative rock; industrial; industrial rock; creative commons; industrial metal; metal; american; usa; américain; electro-industrial; rock and indie; n3,Nine Inch Nails,False
4d5447d7-c61c-4120-ba1b-d7f471d385b9,John Lennon,John Lennon,rock; pop; folk; experimental; british; singer-songwriter; uk; britannique; classic rock; pop rock; english; united kingdom; classic pop and rock; peace; death by murder; death by gun; singer/songwriter; rock & roll; wifebeater; murdered,John Lennon,False
6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,Lily Allen,Lily Allen,synthpop; pop; ska; british; uk; britannique; electropop; dance-pop; english; pop and chart; contemporary r&b; déià - sa fonda august 1998 - and a once for the hp sauce,Lily Allen,False
70248960-cb53-4ea4-943a-edb18f7d336f,Bruce Springsteen,Bruce Springsteen,rock; folk; cotm; american; singer-songwriter; usa; americana; américain; pop rock; contemporary folk; heartland rock; classic pop and rock; grammy winner; singer/songwriter; pop/rock,Bruce Springsteen,False
2e41ae9c-afd2-4f20-8f1e-17281ce9b472,Gwen Stefani,Gwen Stefani,rock; pop; american; new wave; ska punk; electropop; rnb; dance-pop; pop rock; pop rap; pop and chart; united states; no doubt; contemporary r&b,Gwen Stefani,False
cb67438a-7f50-4f2b-a6f1-2bb2729fd538,Air,Air,trip-hop; electronic; downtempo; soundtrack; pop; chillout; ambient; jazz; french; france; français; electronica; producer; composer; lyricist; european; parolier; compositeur; producteur; dance and electronica; ambient pop,Air,False
bd13909f-1c29-4c27-a874-d4aaf27c5b1a,Fleetwood Mac,Fleetwood Mac,rock; pop; american; blues; british; band; blues rock; jam band; soft rock; pop rock; british blues; classic pop and rock; pop/rock; fleetwood mac; british-american,Fleetwood Mac,False
